StartTime,EndTime,Title,Annotation,MainCategory,Category2,Category3
00:00.1,00:13.8,,,Left 
00:14.0,00:15.8,,,Right
00:15.9,00:21.5,,,Left 
00:21.6,00:30.0,,,Right
00:30.1,01:04.0,,,Right
01:04.1,01:40.5,,,Left 
01:40.6,02:08.2,,,Right
02:08.6,02:11.1,,,Right
02:11.3,02:19.8,,,Left 
02:19.9,02:35.0,,,Right
02:35.1,03:04.8,,,Left 
03:04.9,03:19.1,,,Right
03:19.2,04:59.7,,,Left 
04:59.8,05:25.4,,,Right
05:26.3,05:27.3,,,Right
05:27.3,05:57.7,,,Left 
05:57.8,06:02.0,,,Right
06:02.1,07:22.6,,,Left 
07:23.0,07:49.6,,,Left 
07:49.8,07:56.8,,,Right
07:56.9,07:58.4,,,Left 
07:58.5,08:06.0,,,Right
08:06.1,08:14.3,,,Left 
08:14.7,08:25.7,,,Left 
08:25.8,08:41.6,,,Right
08:41.6,09:31.4,,,Left 
09:31.5,09:36.1,,,Right
00:00.0,00:03.9,,,Grooming Active
00:27.8,00:36.2,,,Grooming Active
00:41.6,00:53.3,,,Grooming Passive
01:33.5,01:37.4,,,Grooming Passive
02:09.3,02:10.8,,,Right
02:05.2,02:09.2,,,Right
02:04.9,02:12.9,,,Grooming Passive
05:21.5,05:23.4,,,Grooming Passive
05:22.9,05:26.6,,,Right
07:21.5,07:23.9,,,Left 
07:16.3,07:37.3,,,Grooming Active
08:12.2,08:15.6,,,Grooming Active
08:13.4,08:19.1,,,Left 
05:21.2,05:27.3,,,Grooming Passive
00:00.0,00:05.5,,,Interim
00:05.3,00:06.9,,,Air Active
00:07.4,00:39.3,,,Interim
00:39.3,00:55.8,,,Air Passive
00:55.7,01:27.6,,,Interim
01:27.7,01:29.9,,,Air Active
01:29.7,02:02.1,,,Interim
02:02.1,03:05.8,,,Air Passive
03:06.2,03:38.0,,,Interim
03:38.0,04:06.1,,,Air Active
04:06.4,04:38.7,,,Interim
04:38.7,05:05.8,,,Air Passive
05:05.5,05:37.9,,,Interim
05:38.0,06:20.8,,,Air Active
06:21.3,06:53.6,,,Interim
06:53.5,07:59.2,,,Air Passive
07:59.1,08:31.3,,,Interim
08:31.3,08:44.6,,,Air Active
08:44.6,09:16.7,,,Interim
09:16.8,09:32.2,,,Air Passive
09:32.2,09:36.1,,,Interim
00:11.7,00:11.7,,,Sample
00:24.5,00:24.5,,,Sample
00:37.6,00:37.6,,,Sample
00:40.0,00:40.0,,,Sample
00:45.4,00:45.4,,,Sample
00:54.0,00:54.0,,,Sample
00:58.5,00:58.5,,,Sample
01:07.3,01:07.3,,,Sample
01:12.3,01:12.3,,,Sample
01:29.0,01:29.0,,,Sample
01:39.8,01:39.8,,,Sample
01:53.7,01:53.7,,,Sample
